doc_id;word;start;end;babelSynsetID;score;coherence;global
2021-JDR;General Data Protection Regulation;4;37;bn:14611366n;1.0;0.13725490196078433;0.0035796471490667347
2021-JDR;way;71;73;bn:00033729n;0.7913238593866866;0.45098039215686275;0.05410380976732294
2021-JDR;organizations;75;87;bn:00059480n;0.8184143222506394;0.39215686274509803;0.0490923037586295
2021-JDR;data privacy;98;109;bn:01701182n;1.0;0.0784313725490196;0.0024546151879314753
2021-JDR;business processes;154;171;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2021-JDR;systematic literature review;216;243;bn:02352276n;1.0;0.09803921568627451;0.001534134492457172
2021-JDR;examine;254;260;bn:00082596v;0.72;0.21568627450980393;0.010125287650217335
2021-JDR;research;296;303;bn:00067280n;0.8028673835125448;0.27450980392156865;0.022909741754027102
2021-JDR;carried out;305;315;bn:00082225v;0.927710843373494;0.21568627450980393;0.007875223727946816
2021-JDR;business process;382;397;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2024-RDJ;General Data Protection Regulation;4;37;bn:14611366n;1.0;0.13725490196078433;0.0035796471490667347
2024-RDJ;way;71;73;bn:00033729n;0.7913238593866866;0.45098039215686275;0.05410380976732294
2024-RDJ;organizations;75;87;bn:00059480n;0.8184143222506394;0.39215686274509803;0.0490923037586295
2024-RDJ;data privacy;98;109;bn:01701182n;1.0;0.0784313725490196;0.0024546151879314753
2024-RDJ;business processes;154;171;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2024-RDJ;systematic literature review;216;243;bn:02352276n;1.0;0.09803921568627451;0.001534134492457172
2024-RDJ;examine;254;260;bn:00082596v;0.72;0.21568627450980393;0.010125287650217335
2024-RDJ;research;296;303;bn:00067280n;0.8028673835125448;0.27450980392156865;0.022909741754027102
2024-RDJ;carried out;305;315;bn:00082225v;0.927710843373494;0.21568627450980393;0.007875223727946816
2024-RDJ;business process;382;397;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
