doc_id;word;start;end;babelSynsetID;score;coherence;global
2021-JDR;General Data Protection Regulation;4;37;bn:14611366n;1.0;0.13725490196078433;0.0035796471490667347
2021-JDR;GDPR;40;43;bn:00730526n;1.0;0.0196078431372549;5.113781641523907e-05
2021-JDR;dramatically;46;57;bn:00115126r;0.0;0.0;0.0
2021-JDR;affects;59;65;bn:00082426v;0.0;0.0;0.0
2021-JDR;way;71;73;bn:00033729n;0.7913238593866866;0.45098039215686275;0.05410380976732294
2021-JDR;organizations;75;87;bn:00059480n;0.8184143222506394;0.39215686274509803;0.0490923037586295
2021-JDR;approach;89;96;bn:00082732v;0.0;0.0;0.0
2021-JDR;data privacy;98;109;bn:01701182n;1.0;0.0784313725490196;0.0024546151879314753
2021-JDR;forcing;112;118;bn:00085252v;0.0;0.0;0.0
2021-JDR;rethink;128;134;bn:00092934v;1.0;0.0196078431372549;5.113781641523907e-05
2021-JDR;upgrade;140;146;bn:00095455v;0.8;0.0392156862745098;0.0002045512656609563
2021-JDR;business processes;154;171;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2021-JDR;order;176;180;bn:00059303n;0.0;0.0;0.0
2021-JDR;comply;185;190;bn:00082139v;0.0;0.0;0.0
2021-JDR;GDPR;197;200;bn:00730526n;1.0;0.0196078431372549;5.113781641523907e-05
2021-JDR;systematic literature review;216;243;bn:02352276n;1.0;0.09803921568627451;0.001534134492457172
2021-JDR;SLR;246;248;bn:03562289n;0.0;0.0;0.0
2021-JDR;examine;254;260;bn:00082596v;0.72;0.21568627450980393;0.010125287650217335
2021-JDR;primary;266;272;bn:00109011a;0.0;0.0;0.0
2021-JDR;studies;274;280;bn:00074790n;0.0;0.0;0.0
2021-JDR;identify;283;290;bn:00089574v;0.0;0.0;0.0
2021-JDR;research;296;303;bn:00067280n;0.8028673835125448;0.27450980392156865;0.022909741754027102
2021-JDR;carried out;305;315;bn:00082225v;0.927710843373494;0.21568627450980393;0.007875223727946816
2021-JDR;methods;325;331;bn:00054625n;0.0;0.0;0.0
2021-JDR;proposed;342;349;bn:00082417v;0.0;0.0;0.0
2021-JDR;applied;352;358;bn:00082705v;0.0;0.0;0.0
2021-JDR;integrated;364;373;bn:00089663v;0.0;0.0;0.0
2021-JDR;business process;382;397;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2021-JDR;life cycle;399;408;bn:00051064n;0.0;0.0;0.0
2021-JDR;defined;414;420;bn:00086464v;0.0;0.0;0.0
2021-JDR;BPM;425;427;bn:00009418n;0.0;0.0;0.0
2021-JDR;cope with;433;441;bn:00085799v;1.0;0.0196078431372549;0.00010227563283047814
2021-JDR;new;448;450;bn:00107267a;0.0;0.0;0.0
2021-JDR;regulation;452;461;bn:00059436n;0.0;0.0;0.0
2024-RDJ;General Data Protection Regulation;4;37;bn:14611366n;1.0;0.13725490196078433;0.0035796471490667347
2024-RDJ;GDPR;40;43;bn:00730526n;1.0;0.0196078431372549;5.113781641523907e-05
2024-RDJ;dramatically;46;57;bn:00115126r;0.0;0.0;0.0
2024-RDJ;affects;59;65;bn:00082426v;0.0;0.0;0.0
2024-RDJ;way;71;73;bn:00033729n;0.7913238593866866;0.45098039215686275;0.05410380976732294
2024-RDJ;organizations;75;87;bn:00059480n;0.8184143222506394;0.39215686274509803;0.0490923037586295
2024-RDJ;approach;89;96;bn:00082732v;0.0;0.0;0.0
2024-RDJ;data privacy;98;109;bn:01701182n;1.0;0.0784313725490196;0.0024546151879314753
2024-RDJ;forcing;112;118;bn:00085252v;0.0;0.0;0.0
2024-RDJ;rethink;128;134;bn:00092934v;1.0;0.0196078431372549;5.113781641523907e-05
2024-RDJ;upgrade;140;146;bn:00095455v;0.8;0.0392156862745098;0.0002045512656609563
2024-RDJ;business processes;154;171;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2024-RDJ;order;176;180;bn:00059303n;0.0;0.0;0.0
2024-RDJ;comply;185;190;bn:00082139v;0.0;0.0;0.0
2024-RDJ;GDPR;197;200;bn:00730526n;1.0;0.0196078431372549;5.113781641523907e-05
2024-RDJ;systematic literature review;216;243;bn:02352276n;1.0;0.09803921568627451;0.001534134492457172
2024-RDJ;SLR;246;248;bn:03562289n;0.0;0.0;0.0
2024-RDJ;examine;254;260;bn:00082596v;0.72;0.21568627450980393;0.010125287650217335
2024-RDJ;primary;266;272;bn:00109011a;0.0;0.0;0.0
2024-RDJ;studies;274;280;bn:00074790n;0.0;0.0;0.0
2024-RDJ;identify;283;290;bn:00089574v;0.0;0.0;0.0
2024-RDJ;research;296;303;bn:00067280n;0.8028673835125448;0.27450980392156865;0.022909741754027102
2024-RDJ;carried out;305;315;bn:00082225v;0.927710843373494;0.21568627450980393;0.007875223727946816
2024-RDJ;methods;325;331;bn:00054625n;0.0;0.0;0.0
2024-RDJ;proposed;342;349;bn:00082417v;0.0;0.0;0.0
2024-RDJ;applied;352;358;bn:00082705v;0.0;0.0;0.0
2024-RDJ;integrated;364;373;bn:00089663v;0.0;0.0;0.0
2024-RDJ;business process;382;397;bn:02788029n;1.0;0.1568627450980392;0.007772948095116338
2024-RDJ;life cycle;399;408;bn:00051064n;0.0;0.0;0.0
2024-RDJ;defined;414;420;bn:00086464v;0.0;0.0;0.0
2024-RDJ;BPM;425;427;bn:00009418n;0.0;0.0;0.0
2024-RDJ;cope with;433;441;bn:00085799v;1.0;0.0196078431372549;0.00010227563283047814
2024-RDJ;new;448;450;bn:00107267a;0.0;0.0;0.0
2024-RDJ;regulation;452;461;bn:00059436n;0.0;0.0;0.0
