doc_id;word;start;end;babelSynsetID;score;coherence;global
2016-BRZ;New;0;2;bn:02989482n;1.0;0.07936507936507936;0.00046247479512366574
2016-BRZ;business models;4;18;bn:03502105n;1.0;0.20634920634920634;0.005771685443143349
2016-BRZ;imply;20;24;bn:00085636v;0.0;0.0;0.0
2016-BRZ;decentralization;26;41;bn:00025690n;0.0;0.0;0.0
2016-BRZ;organizations;46;58;bn:00059480n;0.0;0.0;0.0
2016-BRZ;subsequent;64;73;bn:00111392a;1.0;0.015873015873015872;1.849899180494663e-05
2016-BRZ;change;75;80;bn:00053823n;0.8982251802551303;0.6507936507936508;0.05991823445622214
2016-BRZ;management;91;100;bn:00053116n;0.7139753801593048;0.4603174603174603;0.03648001183935475
2016-BRZ;operation;106;114;bn:00059125n;0.0;0.0;0.0
2016-BRZ;styles;116;121;bn:00033729n;0.9657836644591612;0.5555555555555556;0.0323732356586566
2016-BRZ;Originally;124;133;bn:00817197n;0.0;0.0;0.0
2016-BRZ;designed;135;142;bn:00085742v;0.0;0.0;0.0
2016-BRZ;classical;148;156;bn:00097800a;0.9;0.12698412698412698;0.0013319274099561575
2016-BRZ;bureaucratic;159;170;bn:00099030a;1.0;0.1111111111111111;0.0009064505984423849
2016-BRZ;organizations;173;185;bn:00059480n;0.0;0.0;0.0
2016-BRZ;Enter;193;197;bn:00690557n;1.0;0.015873015873015872;1.849899180494663e-05
2016-BRZ;prise;200;204;bn:00092027v;1.0;0.031746031746031744;7.399596721978652e-05
2016-BRZ;Modeling;206;213;bn:00090876v;0.0;0.0;0.0
2016-BRZ;EM;216;217;bn:00030452n;1.0;0.031746031746031744;7.399596721978652e-05
2016-BRZ;methods;220;226;bn:00054625n;0.0;0.0;0.0
2016-BRZ;explicitly;235;244;bn:00115285r;1.0;0.06349206349206349;0.0003699798360989326
2016-BRZ;address;246;252;bn:00082332v;0.0;0.0;0.0
2016-BRZ;decentralization;254;269;bn:00025690n;0.0;0.0;0.0
2016-BRZ;require;280;286;bn:00082822v;0.0;0.0;0.0
2016-BRZ;adaptations;301;311;bn:00001266n;0.0;0.0;0.0
2016-BRZ;applied;318;324;bn:00082705v;0.0;0.0;0.0
2016-BRZ;modern;329;334;bn:00106831a;0.0;0.0;0.0
2016-BRZ;organizations;336;348;bn:00059480n;0.0;0.0;0.0
2016-BRZ;work;359;362;bn:00081568n;0.0;0.0;0.0
2016-BRZ;analyze;368;374;bn:00082596v;0.0;0.0;0.0
2016-BRZ;organizational;384;397;bn:00107970a;1.0;0.12698412698412698;0.0011839354755165843
2016-BRZ;taxonomies;399;408;bn:00076251n;0.9529411764705882;0.14285714285714285;0.0014984183362006772
2016-BRZ;presented;410;418;bn:00086557v;0.0;0.0;0.0
2016-BRZ;literature;427;436;bn:00051538n;0.9973935708079931;0.4444444444444444;0.021236842592078732
2016-BRZ;focusing;438;445;bn:00084726v;0.0;0.0;0.0
2016-BRZ;criteria;450;457;bn:00023853n;0.9540636042402827;0.23809523809523808;0.00499472778733559
2016-BRZ;organization;462;473;bn:00059480n;0.0;0.0;0.0
